pet_id,species,age,weight_kg,condition,treatment,visit_date,cost_gbp,year,month,age_group,insured,insurance_plan,coverage_rate,covered_gbp,out_of_pocket_gbp
P0001,Dog,6.0,10.6,Arthritis,Dental cleaning,2023-04-08,277.31,2023,4,6-10,True,Lifetime,0.8302593065336454,230.24,47.07
P0002,Cat,9.486666666666666,2.1,Unknown,Surgery,2023-11-24,164.88,2023,11,6-10,False,None,0.0,0.0,164.88
P0003,Dog,9.486666666666666,27.6,Gastroenteritis,Diet consultation,2023-01-01,218.24476550680782,2023,1,6-10,True,Lifetime,0.8936839913142063,195.04,23.2
P0004,Dog,1.0,16.9,Allergy,Vaccination,2023-09-20,218.24476550680782,2023,9,0-2,True,Accident-only,0.5325688905566646,116.23,102.01
P0004,Dog,1.0,16.9,Allergy,Vaccination,2023-03-21,224.70928128497042,2023,9,0-2,True,Accident-only,0.637793856600362,143.32,81.39
P0004,Dog,1.0,16.9,Allergy,Vaccination,2023-04-17,209.66808409492822,2023,9,0-2,True,Lifetime,0.879606413076654,184.43,25.24
P0004,Dog,1.0,16.9,Allergy,Vaccination,2023-07-30,255.47109824002374,2023,9,0-2,True,Accident-only,0.6775944306328251,173.11,82.36
P0004,Dog,1.0,16.9,Allergy,Vaccination,2023-07-17,176.2272558484484,2023,9,0-2,False,None,0.0,0.0,176.23
P0004,Dog,1.0,16.9,Allergy,Vaccination,2023-10-26,236.8116366597173,2023,9,0-2,False,None,0.0,0.0,236.81
P0004,Dog,1.0,16.9,Allergy,Vaccination,2023-06-21,225.260838394061,2023,9,0-2,True,Lifetime,0.8085757371747665,182.14,43.12
P0004,Dog,1.0,16.9,Allergy,Vaccination,2023-05-11,242.8191279883314,2023,9,0-2,True,Lifetime,0.8325686333438815,202.16,40.66
P0005,Dog,9.486666666666666,26.7,Tumor,Vaccination,2023-06-08,248.19081913373512,2023,12,6-10,True,Time-limited,0.6263261709017516,155.45,92.74
P0005,Dog,9.486666666666666,26.7,Tumor,Vaccination,2023-11-25,214.62669975053663,2023,12,6-10,True,Time-limited,0.7064806964575386,151.63,63.0
P0005,Dog,9.486666666666666,26.7,Tumor,Vaccination,2023-07-07,218.90546037905915,2023,12,6-10,False,None,0.0,0.0,218.91
P0005,Dog,9.486666666666666,26.7,Tumor,Vaccination,2023-05-27,259.37073342138285,2023,12,6-10,True,Accident-only,0.570380578069527,147.94,111.43
P0005,Dog,9.486666666666666,26.7,Tumor,Vaccination,2023-12-15,234.43353472935627,2023,12,6-10,True,Accident-only,0.6149605735197889,144.17,90.26
P0005,Dog,9.486666666666666,26.7,Tumor,Vaccination,2023-12-31,256.0198563770106,2023,12,6-10,False,None,0.0,0.0,256.02
P0005,Dog,9.486666666666666,26.7,Tumor,Vaccination,2023-04-01,241.9601645940096,2023,12,6-10,True,Time-limited,0.6072548429012411,146.93,95.03
P0005,Dog,9.486666666666666,26.7,Tumor,Vaccination,2023-12-21,218.24476550680782,2023,12,6-10,True,Time-limited,0.7864481276789814,171.64,46.6
P0006,Bird,16.0,1.1,Allergy,Physiotherapy,2023-10-09,120.23,2023,10,16-20,False,None,0.0,0.0,120.23
P0007,Dog,14.0,14.1,Dental disease,Diet consultation,2023-06-09,419.85,2023,6,11-15,True,Maximum benefit,0.7400415443222685,310.71,109.14
P0008,Cat,9.486666666666666,2.2,Allergy,Therapy,2023-02-03,196.33,2023,2,6-10,False,None,0.0,0.0,196.33
P0009,Bird,6.0,8.757220216606498,Diabetes,Therapy,2023-06-20,253.33,2023,6,6-10,False,None,0.0,0.0,253.33
P0010,Rabbit,3.0,4.8,Arthritis,Physiotherapy,2023-09-04,299.7,2023,9,3-5,True,Time-limited,0.7347286995915346,220.2,79.5
P0011,Bird,9.486666666666666,0.5,Diabetes,Unknown,2023-05-27,316.88,2023,5,6-10,False,None,0.0,0.0,316.88
P0012,Rabbit,7.0,8.757220216606498,Gastroenteritis,Vaccination,2023-12-03,323.38,2023,12,6-10,False,None,0.0,0.0,323.38
P0013,Dog,5.0,5.2,Unknown,Vaccination,2023-05-03,218.24476550680782,2023,5,3-5,True,Maximum benefit,0.7871700326911901,171.8,46.44
P0014,Cat,17.0,8.757220216606498,Diabetes,Diet consultation,2023-05-15,232.8,2023,5,16-20,True,Maximum benefit,0.7579122143409069,176.44,56.36
P0015,Rabbit,7.0,11.1,Dental disease,Therapy,2023-06-07,317.83,2023,6,6-10,True,Accident-only,0.5938088417965088,188.73,129.1
P0016,Rabbit,9.486666666666666,25.2,Unknown,Surgery,2023-10-21,21.78,2023,10,6-10,False,None,0.0,0.0,21.78
P0017,Cat,12.0,8.757220216606498,Tumor,Vaccination,2023-03-15,248.61,2023,3,11-15,False,None,0.0,0.0,248.61
P0018,Bird,6.0,0.9,Obesity,Unknown,2023-04-22,142.24,2023,4,6-10,False,None,0.0,0.0,142.24
P0019,Rabbit,7.0,12.2,Arthritis,Vaccination,2023-01-26,339.69,2023,1,6-10,False,None,0.0,0.0,339.69
P0020,Rabbit,4.0,5.7,Skin infection,Dental cleaning,2023-02-07,289.56,2023,2,3-5,False,None,0.0,0.0,289.56
P0021,Rabbit,8.0,8.757220216606498,Allergy,Physiotherapy,2023-07-21,364.95,2023,7,6-10,False,None,0.0,0.0,364.95
P0022,Bird,9.486666666666666,1.4,Dental disease,Dental cleaning,2023-03-08,342.5,2023,3,6-10,False,None,0.0,0.0,342.5
P0023,Rabbit,2.0,17.8,Unknown,Diet consultation,2023-10-13,44.33,2023,10,0-2,False,None,0.0,0.0,44.33
P0024,Rabbit,0.0,3.4,Allergy,Check-up,2023-09-16,59.94,2023,9,,False,None,0.0,0.0,59.94
P0025,Dog,8.0,21.3,Arthritis,Surgery,2023-03-21,107.77,2023,3,6-10,True,Maximum benefit,0.8058983708707798,86.85,20.92
P0026,Cat,18.0,6.7,Unknown,Diet consultation,2023-10-03,213.06,2023,10,16-20,False,None,0.0,0.0,213.06
P0027,Bird,3.0,1.8,Skin infection,Physiotherapy,2023-09-09,155.15,2023,9,3-5,False,None,0.0,0.0,155.15
P0028,Dog,12.0,3.7,Unknown,Surgery,2023-11-18,228.55,2023,11,11-15,False,None,0.0,0.0,228.55
P0029,Rabbit,6.0,8.757220216606498,Unknown,Therapy,2023-02-10,124.74,2023,2,6-10,False,None,0.0,0.0,124.74
P0030,Bird,12.0,0.7,Dental disease,Physiotherapy,2023-01-24,184.21,2023,1,11-15,False,None,0.0,0.0,184.21
P0031,Rabbit,19.0,8.757220216606498,Tumor,Check-up,2023-09-04,214.56,2023,9,16-20,False,None,0.0,0.0,214.56
P0032,Rabbit,6.0,11.7,Unknown,Unknown,2023-10-07,161.27,2023,10,6-10,False,None,0.0,0.0,161.27
P0033,Cat,19.0,7.7,Ear infection,Check-up,2023-09-25,2.41,2023,9,16-20,False,None,0.0,0.0,2.41
P0034,Dog,8.0,6.8,Gastroenteritis,Therapy,2023-08-01,491.77,2023,8,6-10,False,None,0.0,0.0,491.77
