pet_id,species,age,weight_kg,condition,treatment,visit_date,cost_gbp
P0001,Dog,6.0,10.6,Arthritis,Dental Cleaning,2023-04-08,277.31
P0002,Cat,,2.1,,Surgery,2023-11-24,164.88
P0003,Dog,,27.6,Gastroenteritis,Diet Consultation,2023-01-01,
P0004,Dog,1.0,16.9,Allergy,Vaccination,2023-09-20,
P0005,Dog,,26.7,Tumor,Vaccination,2023-12-21,
P0006,Bird,16.0,1.1,Allergy,Physiotherapy,2023-10-09,120.23
P0007,Dog,14.0,14.1,Dental Disease,Diet Consultation,2023-06-09,419.85
P0008,Cat,,2.2,Allergy,Therapy,2023-02-03,196.33
P0009,Bird,6.0,,Diabetes,Therapy,2023-06-20,253.33
P0010,Rabbit,3.0,4.8,Arthritis,Physiotherapy,2023-09-04,299.7
P0011,Bird,,0.5,Diabetes,,2023-05-27,316.88
P0012,Rabbit,7.0,,Gastroenteritis,Vaccination,2023-12-03,323.38
P0013,Dog,5.0,5.2,,Vaccination,2023-05-03,
P0014,Cat,17.0,,Diabetes,Diet Consultation,2023-05-15,232.8
P0015,Rabbit,7.0,11.1,Dental Disease,Therapy,2023-06-07,317.83
P0016,Rabbit,,25.2,,Surgery,2023-10-21,21.78
P0017,Cat,12.0,,Tumor,Vaccination,2023-03-15,248.61
P0018,Bird,6.0,0.9,Obesity,,2023-04-22,142.24
P0019,Rabbit,7.0,12.2,Arthritis,Vaccination,2023-01-26,339.69
P0020,Rabbit,4.0,5.7,Skin Infection,Dental Cleaning,2023-02-07,289.56
P0021,Rabbit,8.0,,Allergy,Physiotherapy,2023-07-21,364.95
P0022,Bird,,1.4,Dental Disease,Dental Cleaning,2023-03-08,342.5
P0023,Rabbit,2.0,17.8,,Diet Consultation,2023-10-13,44.33
P0024,Rabbit,0.0,3.4,Allergy,Check-up,2023-09-16,59.94
P0025,Dog,8.0,21.3,Arthritis,Surgery,2023-03-21,107.77
P0026,Cat,18.0,6.7,,Diet Consultation,2023-10-03,213.06
P0027,Bird,3.0,1.8,Skin Infection,Physiotherapy,2023-09-09,155.15
P0028,Dog,12.0,3.7,,Surgery,2023-11-18,228.55
P0029,Rabbit,6.0,,,Therapy,2023-02-10,124.74
P0030,Bird,12.0,0.7,Dental Disease,Physiotherapy,2023-01-24,184.21
P0031,Rabbit,19.0,,Tumor,Check-up,2023-09-04,214.56
P0032,Rabbit,6.0,11.7,,,2023-10-07,161.27
P0033,Cat,19.0,7.7,Ear Infection,Check-up,2023-09-25,2.41
P0034,Dog,8.0,6.8,Gastroenteritis,Therapy,2023-08-01,491.77
P0035,Dog,14.0,13.8,Ear Infection,Dental Cleaning,2023-04-02,127.53
P0036,Cat,19.0,,Gastroenteritis,Surgery,2023-02-24,238.63
P0037,Bird,6.0,1.0,Diabetes,,2023-03-05,188.83
P0038,Bird,16.0,2.0,Tumor,Check-up,2023-05-17,133.74
P0039,Bird,0.0,0.6,Allergy,,2023-12-23,187.38
P0040,Cat,11.0,19.7,,Dental Cleaning,2023-07-22,90.99
P0041,Rabbit,,,Hip Dysplasia,,2023-08-04,315.97
P0042,Cat,4.0,15.2,Allergy,Surgery,2023-06-01,408.85
P0043,Cat,15.0,0.5,Gastroenteritis,Vaccination,2023-01-03,256.73
P0044,Dog,15.0,15.8,Allergy,Surgery,2023-01-28,124.48
P0045,Rabbit,18.0,11.1,Diabetes,,2023-04-09,290.82
P0046,Bird,6.0,,Allergy,,2023-03-24,62.09
P0047,Bird,0.0,1.4,Allergy,Physiotherapy,2023-07-07,432.49
P0048,Dog,17.0,21.5,Diabetes,Diet Consultation,2023-06-14,15.37
P0049,Bird,19.0,1.1,Hip Dysplasia,Medication,2023-11-21,151.33
P0050,Dog,4.0,13.4,Arthritis,Diet Consultation,2023-12-11,177.96
P0051,Dog,18.0,16.4,Allergy,Vaccination,2023-04-18,278.29
P0052,Bird,0.0,1.3,Dental Disease,Diet Consultation,2023-03-09,244.55
P0053,Bird,7.0,1.6,Allergy,Surgery,2023-08-26,328.1
P0054,Dog,2.0,29.3,Arthritis,,2023-01-03,178.55
P0055,Cat,8.0,,Dental Disease,Diet Consultation,2023-08-16,0.49
P0056,Cat,7.0,3.8,Skin Infection,Medication,2023-03-13,263.67
P0057,Dog,11.0,22.5,Skin Infection,Dental Cleaning,2023-08-10,541.0
P0058,Bird,5.0,2.0,,,2023-11-23,222.05
P0059,Bird,7.0,1.3,Dental Disease,Vaccination,2023-05-07,201.95
P0060,Dog,0.0,26.6,Gastroenteritis,,2023-01-24,293.85
P0061,Rabbit,2.0,,Arthritis,Medication,2023-10-16,198.26
P0062,Cat,5.0,5.5,Arthritis,,2023-02-28,181.38
P0063,Cat,2.0,9.9,Diabetes,Surgery,2023-11-28,57.57
P0064,Cat,2.0,,Skin Infection,Surgery,2023-10-08,232.11
P0065,Dog,2.0,5.0,Gastroenteritis,Surgery,2023-07-22,67.42
P0066,Rabbit,,5.2,Obesity,Vaccination,2023-11-23,4.15
P0067,Rabbit,16.0,,Allergy,Dental Cleaning,2023-07-05,267.47
P0068,Rabbit,2.0,18.2,Hip Dysplasia,Therapy,2023-02-01,298.52
